,cv_pr_auc_mean,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives
xgboost,0.8417527373633238,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.9740508682369965,0.8760723391288635,82.0,16.0,16.0,56848.0
random_forest,0.8407847827008825,0.8695652173913043,0.8163265306122449,0.8421052631578947,0.9823967748326118,0.8449659277540593,80.0,12.0,18.0,56852.0
logistic_regression,0.7512847644405737,0.05576441102756892,0.9081632653061225,0.1050767414403778,0.9738330194204863,0.7236343502828524,89.0,1507.0,9.0,55357.0
